Key_in,model_type,key_out
Incoterm,3,Incoterm
OrigCode,3,Code
DestCode,3,Code
DepFrom,3,DepartureFrom
DepTo,3,DepartureTo
ETA,3,ArrivalTo
VendorCode,3,BusinessPartnerId
ContainerType,3,Type
ContainerCount,3,Count
Quantity,3,Weight
NestleCommodityType,3,CommodityCode
SAPRef,3,ArticleCode
CommodityName,3,ArticleDescription
PackageCount,3,Packages
PackageType,3,PackageType
Quantity,3,GrossWeight
ArticleDescription,3,ArticleDescription
Commodity,3,CommodityCode
Packages,3,Packages
PackageType,3,PackageType
GrossWeight,3,GrossWeight
NetWeight,3,NetWeight
Incoterm,3,Incoterm
ShippingWindowFrom,3,DepartureFrom
ShippingWindowTo,3,DepartureTo
LoadingType,3,MovementType
Supplier,3,Alias
PartyConsignee,3,Alias
PartyNotify,3,Alias
PartyShipper,3,Alias
PoRCode,3,Code
FnDCode,3,Code
ContainerType1,3,Type
ContainerCount1,3,Count
GrossWeight,3,Weight
BuyerOrderReference,3,OrderReference
BuyerOrderReference,3,IntegrationId
Plant,3,Alias
Origin,3,originCountryCode
Plant,3,Code
PONumber,3,OrderReference
VendorAccountNo,3,Alias
OriginalDelDate,3,nEta
OriginalDelDate,3,nEta
PONumber,3,IntegrationId
VendorAccountNo,3,Alias
BagsperBatch,3,Packages
OriginalDelDate,3,Eta
OriginalDelDate,3,Eta
VendorAccountNo,3,Alias
PlannedContainer,7,ContainerTypes
type,3,Type
count,3,Count
Party,7,Parties
type,3,Type
id,3,Alias
PlannedContainer,3,MovementType
Party,7,Parties
id,3,CompanyId
Party,7,Parties
id,3,Alias
name,3,CompanyName
name,3,IntegrationName
companyId,3,CompanyId
alias,3,BusinessPartnerId
parties,7,Parties
alias,3,Alias
references,7,References
parties,7,Parties
type,3,Type
alias,3,Alias
references,7,References
parties,7,Parties
type,3,Type
alias,3,CompanyName
references,7,References
alias,3,Alias
containerTypes,7,ContainerTypes
type,3,Type
count,3,Count
weight,3,Weight
remarks,3,Remarks
parties,7,Parties
alias,3,Alias
references,7,References
userId,3,UserId
items,7,Items
commodityCode,3,CommodityCode
articleCode,3,ArticleCode
articleDescription,3,ArticleDescription
packages,3,Packages
packageType,3,PackageType
volume,3,Volume
grossWeight,3,GrossWeight
incoterm,3,Incoterm
departureFrom,3,DepartureFrom
departureTo,3,DepartureTo
arrivalFrom,3,ArrivalFrom
arrivalTo,3,ArrivalTo
movementType,3,MovementType
parties,7,Parties
alias,3,CompanyName
alias,3,Alias
items,7,Items
movementType,3,MovementType
parties,7,Parties
type,3,Type
companyId,3,Alias
references,7,References
parties,7,Parties
type,3,Type
companyName,3,CompanyName
arrivalTo,3,ArrivalTo
companyId,3,Alias
containerTypes,7,ContainerTypes
type,3,Type
count,3,Count
weight,3,Weight
orderType,3,OrderType
OrderIntegrationID,3,OrderIntegrationId
references,7,References
arrivalFrom,3,ArrivalFrom
departureFrom,3,DepartureFrom
commodityCode,3,CommodityCode
articleCode,3,ArticleCode
articleDescription,3,ArticleDescription
pieces,3,Pieces
packages,3,Packages
packageType,3,PackageType
volume,3,Volume
grossWeight,3,GrossWeight
departureTo,3,DepartureTo
netWeight,3,NetWeight
customerItemId,3,CustomerItemId
incoterm,3,Incoterm
por,2,Por
type,3,Type
code,3,Code
fnd,2,Fnd
type,3,Type
code,3,Code
hsCode,3,HSCode
items,7,Items
movementType,3,MovementType
parties,7,Parties
type,3,Type
companyId,3,Alias
references,7,References
parties,7,Parties
type,3,Type
companyName,3,CompanyName
companyId,3,Alias
references,7,References
containerTypes,7,ContainerTypes
type,3,Type
count,3,Count
weight,3,Weight
orderType,3,OrderType
orderIntegrationId,3,OrderIntegrationId
arrivalTo,3,ArrivalTo
arrivalFrom,3,ArrivalFrom
departureTo,3,DepartureTo
departureFrom,3,DepartureFrom
commodityCode,3,CommodityCode
articleCode,3,ArticleCode
articleDescription,3,ArticleDescription
pieces,3,Pieces
packages,3,Packages
packageType,3,PackageType
volume,3,Volume
grossWeight,3,GrossWeight
orderIntegrationId,3,OrderReference
netWeight,3,NetWeight
customerItemId,3,CustomerItemId
incoterm,3,Incoterm
por,2,Por
type,3,Type
code,3,Code
fnd,2,Fnd
type,3,Type
code,3,Code
hsCode,3,HSCode
orderIntegrationId,3,OrderIntegrationId
orderType,3,OrderType
companyName,3,CompanyName
companyId,3,cID
companyId,3,Alias
companyName,3,CompanyName
companyId,3,cID
references,7,References
containerTypes,7,ContainerTypes
type,3,Type
count,3,Count
weight,3,Weight
orderIntegrationId,3,OrderIntegrationId
type,3,Type
parties,7,Parties
items,7,Items
commodityCode,3,CommodityCode
articleCode,3,ArticleCode
sequenceNumber,3,CustomerItemId
articleDescription,3,ArticleDescription
pieces,3,Pieces
packages,3,Packages
packageType,3,PackageType
volume,3,Volume
netWeight,3,NetWeight
hsCode,3,HSCode
incoterm,3,Incoterm
por,2,Por
type,3,Type
code,3,Code
fnd,2,Fnd
type,3,Type
code,3,Code
departureFrom,3,DepartureFrom
departureTo,3,DepartureTo
arrivalFrom,3,ArrivalFrom
arrivalTo,3,ArrivalTo
movementType,3,MovementType
grossWeight,3,GrossWeight
Party,7,Parties
id,3,CompanyId
Party,7,Parties
id,3,Alias
name,3,CompanyName
name,3,IntegrationName
PlannedContainer[0],3,MovementType
id,3,Alias
type,3,Type
Party,7,Parties
Cargo,7,Items
prodplan_total_cartons,3,Packages
PlannedContainer,7,ContainerTypes
type,3,Type
count,3,Count
item_description,3,ArticleDescription
companyId,3,CompanyId
remarks,3,Remarks
parties,7,Parties
alias,3,Alias
references,7,References
parties,7,Parties
type,3,Type
alias,3,Alias
remarks,3,Value
remarks1,3,Value
remarks2,3,Value
weight,3,Weight
count,3,Count
type,3,Type
containerTypes,7,ContainerTypes
userId,3,UserId
items,7,Items
articleCode,3,ArticleCode
articleDescription,3,ArticleDescription
pieces,3,Pieces
packages,3,Packages
packageType,3,PackageType
volume,3,Volume
grossWeight,3,GrossWeight
netWeight,3,NetWeight
hsCode,3,HSCode
incoterm,3,Incoterm
departureFrom,3,DepartureFrom
departureTo,3,DepartureTo
arrivalFrom,3,ArrivalFrom
arrivalTo,3,ArrivalTo
movementType,3,MovementType
parties,7,Parties
alias,3,Alias
references,7,References
isWork,3,Value
companyId,3,CompanyId
departureFrom,3,DepartureFrom
departureFrom,3,DepartureFrom
departureTo,3,DepartureTo
departureTo,3,DepartureTo
arrivalFrom,3,ArrivalFrom
arrivalFrom,3,ArrivalFrom
arrivalTo,3,ArrivalTo
arrivalTo,3,ArrivalTo
movementType,3,MovementType
movementType,3,MovementType
alias,3,Alias
references,7,References
containerTypes,7,ContainerTypes
type,3,Type
count,3,Count
weight,3,Weight
remarks,3,Remarks
parties,7,Parties
parties,7,Parties
companyId,3,CompanyId
userId,3,UserId
userId,3,UserId
items,7,Items
articleCode,3,ArticleCode
articleDescription,3,ArticleDescription
pieces,3,Pieces
packages,3,Packages
packageType,3,PackageType
volume,3,Volume
grossWeight,3,GrossWeight
netWeight,3,NetWeight
hsCode,3,HSCode
incoterm,3,Incoterm
incoterm,3,Incoterm
alias,3,Alias
references,7,References
